img,vr_whole,blob_largest_frac,blob_n,surface
IMG_0265,11.80981890263852,67.9458974985741,1,B
IMG_0267,19.855520838931067,83.6838849365914,2,B
IMG_0269,88.51413058046498,99.73695238028164,1,A
IMG_0273,93.67229121134486,99.6432569411128,1,A
IMG_0275,95.7350248236562,99.94234042626653,1,A
IMG_0279,95.26903999497708,99.9457556316554,1,A
IMG_0280,84.82241605976503,99.5977637138587,1,A
IMG_0282,69.22844958879074,98.60522622174705,1,B
IMG_0283,96.43418879597348,99.9636418003765,1,A
IMG_0284,80.50891875898216,98.46525400592223,2,A
IMG_0285,92.23079245697346,99.91875145086696,1,A
IMG_0291,73.5116338900154,99.34182550285058,1,A
IMG_0293,87.53950326560329,98.2631928492655,1,A
IMG_0294,87.64520813165537,99.65156921019933,1,A
IMG_0295,92.91523273027896,99.8921063210916,1,A
IMG_0297,91.97815171841144,99.79652720963692,1,A
IMG_0300,91.43426827962745,99.26859074743513,2,A
IMG_0301,91.50665753404036,99.11658016171354,1,A
IMG_0302,62.4220386384114,99.31437194501854,1,B
IMG_0303,74.72381023552417,99.34411200933413,1,A
IMG_0304,69.4597802121087,99.35844015528092,1,B
IMG_0305,96.3388199044439,99.91145150152482,1,A
IMG_0307,92.74777342358392,99.89821120598596,1,A
IMG_0308,92.2924988903684,99.79045649567688,1,A
IMG_0309,91.19806094182825,99.78624041309136,1,A
IMG_0310,85.10862262038074,99.33422804663036,1,A
IMG_0313,99.06357184385524,99.96110530391692,1,A
IMG_0315,94.83965337389348,99.86573840803234,1,A
IMG_0316,92.75549517849588,99.8577430972389,1,A
IMG_0319,81.42633228840126,99.38736783186232,1,A
IMG_0320,86.21690686612126,99.63716179896076,1,A
IMG_0321,99.7964434650246,100.0,1,A
IMG_0322,98.94348320835644,99.97110073752098,1,A
IMG_0323,96.12376396298704,99.88936984440102,1,A
IMG_0325,99.09333304429823,99.99562480516713,1,A
IMG_0326,93.43090440604412,99.60771431518071,1,A
IMG_0329,96.11674210973486,99.84538292116896,1,A
IMG_0330,92.12290013488185,99.77866598719912,1,A
IMG_0331,91.84690906065396,99.82317367026964,1,A
IMG_0333,92.58186087320344,99.52817939300736,1,A
IMG_0334,88.25963666543711,99.67174718438318,1,A
IMG_0335,98.4056896681385,99.99126608950075,1,A
IMG_0337,95.93277780689344,99.97414176141952,1,A
IMG_0338,81.81357583206396,99.5581108238876,1,A
IMG_0340,94.288899049395,99.98066671315108,1,A
IMG_0344,46.44660015025504,97.91072518055024,1,B
IMG_0345,96.45373668799076,99.978729822336,1,A
IMG_0349,99.04892315477696,99.9857245897698,1,A
IMG_0350,91.0393186404022,99.8163227820976,1,A
IMG_0351,84.80003269928916,99.5245669615666,1,A
IMG_0352,88.8741858487982,99.81268311426332,1,A
IMG_0353,95.32374227527347,99.97411261751024,1,A
IMG_0354,79.26317910351304,98.28633915424868,1,A
IMG_0355,79.54075258938073,99.25086007744852,1,A
IMG_0356,68.65083275845078,99.33759895000205,1,A
IMG_0357,96.00386859120088,99.96307519415625,1,A
IMG_0358,90.8772062009079,99.76371000169964,1,A
IMG_0359,80.83860824186648,99.20455747187216,1,A
IMG_0361,92.42421471187508,99.891158508832,1,A
IMG_0362,88.35686200198968,99.76006970042222,1,A
IMG_0364,94.0776838786466,99.94252723425376,1,A
IMG_0365,90.03653983898705,99.84089276025398,1,A
IMG_0368,96.29480206044452,99.95997366491598,1,A
IMG_0374,95.55561083609044,99.91461090689464,1,A
IMG_0376,95.72934421390416,99.97214872580422,1,A
IMG_0377,94.8758474759252,99.92125769216764,1,A
IMG_0378,95.69443747805587,99.89569465264748,1,A
IMG_0380,86.18057531684956,99.472778995341,1,A
IMG_0384,79.59047743580523,99.05789697962284,1,A
IMG_0385,50.41759635197581,99.4550716226129,1,B
IMG_0386,80.99682994007668,99.10865874363328,1,A
IMG_0387,39.50248516528959,96.48345393934468,1,C
IMG_0389,84.66910470696301,99.45958825288837,1,A
IMG_0392,99.25061026612724,99.99097038285576,1,A
IMG_0396,97.18032081913792,99.97787450265317,1,A
IMG_0399,89.77571709812146,99.52999685753711,1,A
IMG_0401,97.76485818709988,99.98465879959144,1,A
IMG_0402,96.6584320306164,99.92305550829764,1,A
IMG_0403,91.82602673121522,98.95205988229245,2,A
IMG_0404,98.12351961074062,99.9890871630116,1,A
IMG_0405,92.6692532213284,99.8065067506578,1,A
IMG_0406,98.29685912310237,99.98572839201408,1,A
IMG_0408,91.61690797661996,99.75351951208329,1,A
IMG_0409,93.5366030569586,99.8228200283864,1,A
IMG_0410,56.65702203427554,97.68934632306726,1,B
IMG_0411,50.9278369513139,98.10033832069908,1,B
IMG_0412,93.35856741262148,99.9269737247668,1,A
IMG_0413,61.6709597154322,98.94019036795,1,A
IMG_0415,62.72621445078119,97.15675044606472,1,A
IMG_0416,78.35960924654222,98.69223363286264,1,A
IMG_0417,70.99755368306604,98.7761201402954,1,A
IMG_0418,88.24781389956844,99.5135343168698,1,A
IMG_0419,81.24476094228615,98.40559656337838,1,A
IMG_0420,95.06346780676108,99.8866365912924,1,A
IMG_0425,56.86261552549349,97.23495036026164,1,B
IMG_0426,74.7369697557663,97.9821384529512,1,A
IMG_0427,85.82407205636667,99.32517448979016,1,A
IMG_0428,88.55132557713038,99.50042431099976,1,A
IMG_0429,55.43378170208005,94.26750603522554,1,B
IMG_0430,84.90124003719713,99.21589274465744,1,A
IMG_0434,25.84491090922472,96.77909257735872,1,C
IMG_0435,79.37084007915092,99.2866410937792,1,A
IMG_0436,27.36906784803981,95.10102829901052,1,C
IMG_0437,88.36137723094879,99.63446570994832,1,A
IMG_0438,84.37696442545767,99.83997506499826,1,A
IMG_0439,90.82167287439302,99.7086517755352,1,A
IMG_0441,88.2578569660975,99.72443221645872,1,A
IMG_0442,79.71491620444921,98.98995944874233,1,A
IMG_0443,95.34671087380106,99.95158715011242,1,A
IMG_0444,80.17044120423019,99.22931585989858,1,A
IMG_0445,75.3408563920235,98.7716634522002,1,A
IMG_0447,75.733795317597,98.53352335651132,1,A
IMG_0449,85.84399772526898,99.67366029548415,1,A
IMG_0450,62.86980741895345,97.11079963656086,1,A
